position,club,points,expenditure_m,season
8,NA,56,0,2013/14
9,NA,50,0,2013/14
10,NA,49,0,2013/14
11,NA,45,0,2013/14
12,NA,42,0,2013/14
13,NA,40,0,2013/14
14,NA,38,0,2013/14
15,NA,38,0,2013/14
16,NA,37,0,2013/14
17,NA,36,0,2013/14
18,NA,33,0,2013/14
19,NA,32,0,2013/14
20,NA,30,0,2013/14
1,NA,87,0,2014/15
2,NA,79,0,2014/15
3,NA,75,0,2014/15
4,NA,70,0,2014/15
5,NA,64,0,2014/15
6,NA,62,0,2014/15
7,NA,60,0,2014/15
8,NA,56,0,2014/15
9,NA,54,0,2014/15
10,NA,48,0,2014/15
11,NA,47,0,2014/15
12,NA,47,0,2014/15
13,NA,44,0,2014/15
14,NA,41,0,2014/15
15,NA,39,0,2014/15
16,NA,38,0,2014/15
17,NA,38,0,2014/15
18,NA,35,0,2014/15
19,NA,33,0,2014/15
20,NA,30,0,2014/15
1,NA,81,0,2015/16
2,NA,71,0,2015/16
3,NA,70,0,2015/16
4,NA,66,0,2015/16
5,NA,66,0,2015/16
6,NA,63,0,2015/16
7,NA,62,0,2015/16
8,NA,60,0,2015/16
9,NA,51,0,2015/16
10,NA,50,0,2015/16
11,NA,47,0,2015/16
12,NA,47,0,2015/16
13,NA,45,0,2015/16
14,NA,43,0,2015/16
15,NA,42,0,2015/16
16,NA,42,0,2015/16
17,NA,39,0,2015/16
18,NA,37,0,2015/16
19,NA,34,0,2015/16
20,NA,17,0,2015/16
1,NA,93,0,2016/17
2,NA,86,0,2016/17
3,NA,78,0,2016/17
4,NA,76,0,2016/17
5,NA,75,0,2016/17
6,NA,69,0,2016/17
7,NA,61,0,2016/17
8,NA,46,0,2016/17
9,NA,46,0,2016/17
10,NA,45,0,2016/17
11,NA,45,0,2016/17
12,NA,44,0,2016/17
13,NA,44,0,2016/17
14,NA,41,0,2016/17
15,NA,41,0,2016/17
16,NA,40,0,2016/17
17,NA,40,0,2016/17
18,NA,34,0,2016/17
19,NA,28,0,2016/17
20,NA,24,0,2016/17
1,NA,100,0,2017/18
2,NA,81,0,2017/18
3,NA,77,0,2017/18
4,NA,75,0,2017/18
5,NA,70,0,2017/18
6,NA,63,0,2017/18
7,NA,54,0,2017/18
8,NA,49,0,2017/18
9,NA,47,0,2017/18
10,NA,44,0,2017/18
11,NA,44,0,2017/18
12,NA,44,0,2017/18
